Character,Hex,Logic,Type,Name,Braille
כַּ,05DB+05B7+05BC,8.0,always,kaf  dagesh with patah,⠅⠉
כָּ,05DB+05B8+05BC,8.0,always,kaf dagesh  qamats,⠅⠣
כֱּ,05DB+05B1+05BC,8.0,always,kaf dagesh  hataf segol,⠅⠢
כּ,05DB+05BC,8.0,always,kaf dagesh  hataf patah,⠅⠒
כֳּ,05DB+05B3+05BC,8.0,always,kaf dagesh  hataf qamats,⠅⠜
כּ,FB3B,9.0,always,KAF with dagesh ,⠅
כ,05DB,8.0,letter,kaf,⠡
לּ,05DC+05BC,186.0,always,letter lamed with dagesh,⠐⠇
לִּ,05DC+05B4+05BC,186.0,always,letter lamed  dagesh with hiriq,⠐⠇⠊
לֵּ,05DC+05B5+05BC,186.0,always,letter lamed with dagesh,⠐⠇⠌
לֶּ,05DC+05B6+05BC,186.0,always,letter lamed with dagesh,⠐⠇⠑
לַּ,05DC+05B7+05BC,186.0,always,letter lamed with dagesh,⠐⠇⠉
לָּ,05DC+05B8+05BC,186.0,always,letter lamed dagesh with qamats,⠐⠇⠣
לֱּ,05DC+05B1+05BC,186.0,always,letter lamed dagesh with hataf segol,⠐⠇⠢
לֲּ,05DC+05B2+05BC,186.0,always,letter lamed dagesh with hataf patah,⠐⠇⠒
לֳּ,05DC+05B3+05BC,186.0,always,letter lamed dagesh with hataf qamats,⠐⠇⠜
לִּ,05DC+05B4+05BC,186.0,always,letter lamed  dagesh with hiriq,⠐⠇⠊
לֵּ,05DC+05B5+05BC,186.0,always,letter lamed  dagesh with tsere,⠐⠇⠌
לֶּ,05DC+05B6+05BC,186.0,always,letter lamed  dagesh with segol,⠐⠇⠑
לַּ,05DC+05B7+05BC,186.0,always,letter lamed  dagesh with patah,⠐⠇⠉
לָּ,05DC+05B8+05BC,186.0,always,letter lamed dagesh  qamats,⠐⠇⠣
לֱּ,05DC+05B1+05BC,186.0,always,letter lamed dagesh  hataf segol,⠐⠇⠢
לֲּ,05DC+05B2+05BC,186.0,always,letter lamed dagesh  hataf patah,⠐⠇⠒
לֳּ,05DC+05B3+05BC,186.0,always,letter lamed dagesh  hataf qamats,⠐⠇⠜
ל,05DC,8.0,letter,letter lamed,⠇
ם,05DD,8.0,noback letter,final mem,⠍
ם.,05DD+002E,100,nofor always,final Mem with  period,⠍⠲
"ם,",05DD+002C,100,nofor always,final Mem with  comma,⠍⠂
ם!,05DD+0021,100,nofor always,final Mem with  exclamation mark,⠍⠖
ם?,05DD+003F,100,nofor always,final Mem with  question mark,⠍⠰⠦
ם),05DD+0029,100,nofor always,final Mem with  right parenthesis,⠍⠐⠜
ם”,05DD+201D,100,nofor always,final Mem with right quote,⠍⠴
ם",05DD+0022,100,nofor always,final Mem with quote,⠍⠠⠶
םְ,05DD+05B0,100,nofor always,final Mem with sheva ,⠍⠄
ם ,05DD+0020,100,nofor always,final Mem with  space,⠍ 
ם־,05DD+05BE,100,nofor always,final Mem with  Mediq,⠍⠤
מּ,05DE+05BC,186.0,always,letter mem with dagesh,⠐⠍
מִּ,05DE+05B4+05BC,186.0,always,letter mem  dagesh with hiriq,⠐⠍
מֵּ,05DE+05B5+05BC,186.0,always,letter mem with dagesh,⠐⠍⠌
מֶּ,05DE+05B6+05BC,186.0,always,letter mem with dagesh,⠐⠍⠑
מַּ,05DE+05B7+05BC,186.0,always,letter mem with dagesh,⠐⠍⠉
מָּ,05DE+05B8+05BC,186.0,always,mem dagesh with qamats,⠐⠍⠣
מֱּ,05DE+05B1+05BC,186.0,always,mem dagesh with hataf segol,⠐⠍⠢
מֲּ,05DE+05B2+05BC,186.0,always,mem dagesh with hataf patah,⠐⠍⠒
מֳּ,05DE+05B3+05BC,186.0,always,mem dagesh with hataf qamats,⠐⠍⠜

מִּ,05DE+05B4+05BC,186.0,always,letter mem  dagesh with hiriq,⠐⠍
מֵּ,05DE+05B5+05BC,186.0,always,letter mem  dagesh with tsere,⠐⠍⠌
מֶּ,05DE+05B6+05BC,186.0,always,letter mem  dagesh with segol,⠐⠍⠑
מַּ,05DE+05B7+05BC,186.0,always,letter mem  dagesh with patah,⠐⠍⠉
מָּ,05DE+05B8+05BC,186.0,always,mem dagesh  qamats,⠐⠍⠣
מֱּ,05DE+05B1+05BC,186.0,always,mem dagesh  hataf segol,⠐⠍⠢
מֲּ,05DE+05B2+05BC,186.0,always,mem dagesh  hataf patah,⠐⠍⠒
מֳּ,05DE+05B3+05BC,186.0,always,mem dagesh  hataf qamats,⠐⠍⠜
מ,05DE,8.0,letter,letter mem,⠍
ן,05DF,8.0,letter,noback letter final nun,⠝
ן.,05DF+002E,100,nofor always,final Nun with  period,⠝⠲
"ן,",05DF+002C,100,nofor always,final Nun with  comma,⠝⠂
ן!,05DF+0021,100,nofor always,final Nun with  exclamation mark,⠝⠖
ן?,05DF+003F,100,nofor always,final Nun with  question mark,⠝⠰⠦
ן),05DF+0029,100,nofor always,final Nun with  right parenthesis,⠝⠐⠜
ן”,05DF+201D,100,nofor always,final Nun with right quote,⠝⠴
ן",05DF+0022,100,nofor always,final Nun with quote,⠝⠠⠶
ןְ,05DF+05B0,100,nofor always,final Nun with sheva,⠝
ן ,05DF+0020,100,nofor always,final Nun with  space,⠝ 
ן־,05DF+05BE,100,nofor always,final Nun with Mediq,⠝⠤
נּ,05E0+05BC,186.0,always,letter nun with dagesh,⠐⠝
נִּ,05E0+05B4+05BC,186.0,always,letter nun  dagesh with hiriq,⠐⠝⠊
נֵּ,05E0+05B5+05BC,186.0,always,letter nun with dagesh,⠐⠝⠌
נֶּ,05E0+05B6+05BC,186.0,always,letter nun with dagesh,⠐⠝⠑
נַּ,05E0+05B7+05BC,186.0,always,letter nun with dagesh,⠐⠝⠉
נָּ,05E0+05B8+05BC,186.0,always,letter nun dagesh with qamats,⠐⠝⠣
נֱּ,05E0+05B1+05BC,186.0,always,nun dagesh with hataf segol,⠐⠝⠢
נֲּ,05E0+05B2+05BC,186.0,always,letter nun dagesh with hataf patah,⠐⠝⠒
נֳּ,05E0+05B3+05BC,186.0,always,letter nun dagesh with hataf qamats,⠐⠝⠜

נִּ,05E0+05B4+05BC,186.0,always,letter nun  dagesh with hiriq,⠐⠝⠊
נֵּ,05E0+05B5+05BC,186.0,always,letter nun  dagesh with tsere,⠐⠝⠌
נֶּ,05E0+05B6+05BC,186.0,always,letter nun  dagesh with segol,⠐⠝⠑
נַּ,05E0+05B7+05BC,186.0,always,letter nun  dagesh with patah,⠐⠝⠉
נָּ,05E0+05B8+05BC,186.0,always,letter nun dagesh  qamats,⠐⠝⠣
נֱּ,05E0+05B1+05BC,186.0,always,nun dagesh  hataf segol,⠐⠝⠢
נֲּ,05E0+05B2+05BC,186.0,always,letter nun dagesh  hataf patah,⠐⠝⠒
נֳּ,05E0+05B3+05BC,186.0,always,letter nun dagesh  hataf qamats,⠐⠝⠜
נ,05E0,8.0,letter,letter nun,⠝
ס,05E1,8.0,letter,letter samekh,⠎
ע,05E2,8.0,letter,letter ayin,⠫
ף,05E3,8.0,letter,noback letter final pe,⠋
ף.,05E3+002E,100,nofor always,final Pe with  period,⠋⠲
"ף,",05E3+002C,100,nofor always,final Pe with  comma,⠋⠂
ף!,05E3+0021,100,nofor always,final Pe with  exclamation mark,⠋⠖
ף?,05E3+003F,100,nofor always,final Pe with  question mark,⠋⠰⠦
ף),05E3+0029,100,nofor always,final Pe with  right parenthesis,⠋⠐⠜
ף”,05E3+201D,100,nofor always,final Pe with right quote,⠋⠴
ף",05E3+0022,100,nofor always,final Pe with quote,⠋⠠⠶
ףְ,05E3+05B0,100,nofor always,final Pe with furtive patah,⠋⠉
ף ,05E3+0020,100,nofor always,final Pe with  space,⠋ 
ף־,05E3+05BE,100,nofor always,final Pe with Mediq,⠋⠤
פּ,05E4+05BC,8.0,always,pe with dagesh,⠏
פִּ,05E4+05B4+05BC,8.0,always,pe  dagesh with hiriq,⠏⠊
פֵּ,05E4+005B5+05BC,8.0,always,pe with dagesh,⠏⠌
פֶּ,05E4+05B6+05BC,8.0,always,pe with dagesh,⠏⠑
פַּ,05E4+05B7+05BC,8.0,always,pe with dagesh,⠏⠉
פָּ,05E4+05B8+05BC,8.0,always,pe dagesh with qamats,⠏⠣
פֱּ,05E4+05B1+05BC,8.0,always,pe dagesh with hataf segol,⠏⠢
פֲּ,05E4+05B2+05BC,8.0,always,pe dagesh with hataf patah,⠏⠒
פֳּ,05E4+05B3+05BC,8.0,always,pe dagesh with hataf qamats,⠏⠜
פִּ,05E4+05B4+05BC,8.0,always,pe  dagesh with hiriq,⠏⠊
פֵּ,05E4+005B5+5BC,8.0,always,pe  dagesh with tsere,⠏⠌
פֶּ,05E4+05B6+05BC,8.0,always,pe  dagesh with segol,⠏⠑
פַּ,05E4+05B7+05BC,8.0,always,pe  dagesh with patah,⠏⠉
פָּ,05E4+05B8+05BC,8.0,always,pe dagesh  qamats,⠏⠣
פֱּ,05E4+05B1+05BC,8.0,always,pe dagesh  hataf segol,⠏⠢
פֲּ,05E4+05B2+05BC,8.0,always,pe dagesh  hataf patah,⠏⠒
פֳּ,05E4+05B3+05BC,8.0,always,pe dagesh  hataf qamats,⠏⠜
פ,05E4,214.0,letter,Pe,⠋
ץ,05E5,8.0,letter,noback letter final tsadi,⠮
ץ.,05E5+002E,100,nofor always,final tsadi with  period,⠋⠮
"ץ,",05E5+002C,100,nofor always,final tsadi with  comma,⠮⠂
ץ!,05E5+0021,100,nofor always,final tsadi with  exclamation mark,⠮⠖
ץ?,05E5+003F,100,nofor always,final tsadi with  question mark,⠮⠰⠦
ץ),05E5+0029,100,nofor always,final tsadi with  right parenthesis,⠮⠐⠜
ץ”,05E5+201D,100,nofor always,final tsadi with right quote,⠮⠴
ץ",05E5+0022,100,nofor always,final tsadi with quote,⠮⠠⠶
ץְ,05E5+05B0,100,nofor always,final tsadi with sheva,⠮⠄
ץ ,05E5+0020,100,nofor always,final tsadi with space,⠮ 
ץ־,05E5+05BE,100,nofor alwsays,final tsadi with Mediq,⠮⠤
צ,05E6,8.0,letter,letter tsadi,⠮
קּ,05E7+05BC,186.0,always,letter qof with dagesh,⠐⠟
קִּ,05E7+05B4+05BC,186.0,always,letter qof  dagesh with hiriq,⠐⠟⠊
