Character,Hex,Logic,Type,Name,Braille
֡,05A1,8,letter,accent pazer,⠨⠦
֢,05A2,8,letter,accent atnah hafukh,⠨⠆
֣,05A3,8,letter,accent munah,⠨⠥
֤,05A4,8,letter,accent mahapakh,⠨⠓
֥,05A5,8,letter,accent merkha,⠨⠍
֦,05A6,8,letter,accent merkha kefula,⠨⠅
֧,05A7,8,letter,accent darga,⠨⠙
֨,05A8,8,letter,accent qadma,⠨⠏
֩,05A9,8,letter,accent telisha qetana,⠨⠟
֪,05AA,8,letter,accent yerah ben yomo,⠨⠽
֫,05AB,8,letter,accent ole,⠨⠕
֬,05AC,8,letter,accent iluy,⠨⠊
֭,05AD,8,letter,accent dehi,⠨⠊
֮,05AE,8,letter,accent zinor,⠨⠵
֯,05AF,8,letter,mark masora circle,⠸⠍
✔,U+2714,,letter,Check Mark Distinguishes Same kind of Varient,⠷
✕,U+2715,,letter,Mark beginning of Replacement,⠗
✖,U+2716,,letter,Mark Ends of Replacement,⠺
✗,U+2717,,letter,Mark for  Insertion,⠊
✘,U+2718,,letter,Marks Varients with in Apparatus,⠔
✙,fU+2719,,letter,  Marks end of Replaced text,⠾
❁,U+2741,,letter,Reference to LXX,⠇⠭⠭
❍,U+274D,,letter,Marks Omitted Word,⠕
❏,U+274F,,letter,Marks End of Omited word,⠕
❐,U+2750,,letter,Marks Replaced Word,⠗
❑,U+2751,,letter,Mark that Distinguishes between Varient,⠟
❘,U+2758,,letter,Mark that separates variations,⠳
❙,U+2759,,letter,Mark that indicates Alternative readings,⠞
❚,U+275A,,letter,Mark indicates varrnt punctuation,⠉
❥,U+2765,,letter,Marks distinguishes between varient,⠜⠣⠕⠱⠏⠜ ⠣⠌⠕⠱⠏⠜
❦,U+2766,,letter,Marks beginning of transposition,⠣⠣⠕⠱⠏⠜ ⠣⠌⠕⠱⠏⠜
❧,U+2767,,letter,Check Marks end of transposition,⠱
a,,,letter,a,⠁
A,,,letter,A,⠠⠁
b,,,letter,B,⠠⠃
c,,,letter,c,⠉
C,,,letter,C,⠠⠉
d,,,letter,d,⠙
D,,,letter,D,⠠⠙
e,,,letter,e,⠑
E,,,letter,E,⠠⠑
f,,,letter,f,⠋
F,,,letter,F,⠠⠋
g,,,letter,g,⠛
G,,,letter,G,⠠⠛
h,,,letter,h,⠓
H,,,letter,H,⠠⠓
i,,,letter,i,⠊
I,,,letter,I,⠠⠊
j,,,letter,j,⠚
J,,,letter,J,⠠⠚
k,,,letter,k,⠅
K,,,letter,K,⠠⠅
l,,,letter,l,⠇
L,,,letter,L,⠠⠇
m,,,letter,m,⠍
M,,,letter,M,⠠⠍
n,,,letter,N,⠝
N,,,letter,N,⠠⠝
o,,,letter,o,⠕
O,,,letter,O,⠠⠕
p,,,letter,p,⠏
P,,,letter,P,⠠⠏
q,,,letter,q,⠟
Q,,,letter,Q,⠠⠟
r,,,letter,r,⠗
R,,,letter,R,⠠⠗
s,,,letter,s,⠎
