Character,Hex,Type,Name,Braille
𒀻,1203B,letter,CUNEIFORM SIGN ASH OVER ASH TUG2 OVER TUG2 TUG2 OVER TUG2 PAP,⠁⠩⠌⠁⠩ ⠞⠥⠛⠌⠞⠥⠛ ⠞⠥⠛⠌⠞⠥⠛ ⠏⠁⠏
𒀼,1203C,letter,CUNEIFORM SIGN ASH OVER ASH OVER ASH,⠁⠩⠌⠁⠩⠌⠁⠩
𒀽,1203D,letter,CUNEIFORM SIGN ASH OVER ASH OVER ASH CROSSING ASH OVER ASH OVER ASH,⠁⠩⠌⠁⠩⠌⠁⠩⠯⠁⠩⠌⠁⠩⠌⠁⠩
𒀾,1203E,letter,CUNEIFORM SIGN ASH2,⠁⠩
𒀿,1203F,letter,CUNEIFORM SIGN ASHGAB,⠁⠩⠛⠁⠃
𒁀,12040,letter,CUNEIFORM SIGN BA,⠃⠁
𒁁,12041,letter,CUNEIFORM SIGN BAD,⠃⠁⠙
𒁂,12042,letter,CUNEIFORM SIGN BAG3,⠃⠁⠛⠒
𒁃,12043,letter,CUNEIFORM SIGN BAHAR2,⠃⠁⠓⠜
𒁄,12044,letter,CUNEIFORM SIGN BAL,⠃⠁⠇
𒁅,12045,letter,CUNEIFORM SIGN BAL OVER BAL,⠃⠁⠇⠌⠃⠁⠇
𒁆,12046,letter,CUNEIFORM SIGN BALAG,⠃⠁⠇⠁⠛
𒁇,12047,letter,CUNEIFORM SIGN BAR,⠃⠜
𒁈,12048,letter,CUNEIFORM SIGN BARA2,⠃⠜⠁
𒁉,12049,letter,CUNEIFORM SIGN BI,⠃⠊
𒁊,1204A,letter,CUNEIFORM SIGN BI TIMES A,⠃⠊⠡⠁
𒁋,1204B,letter,CUNEIFORM SIGN BI TIMES GAR,⠃⠊⠡⠛⠜
𒁌,1204C,letter,CUNEIFORM SIGN BI TIMES IGI GUNU,⠃⠊⠡⠊⠛⠊ ⠛⠥⠝⠥
𒁍,1204D,letter,CUNEIFORM SIGN BU,⠃⠥
𒁎,1204E,letter,CUNEIFORM SIGN BU OVER BU AB,⠃⠥⠌⠃⠥ ⠁⠃
𒁏,1204F,letter,CUNEIFORM SIGN BU OVER BU UN,⠃⠥⠌⠃⠥ ⠥⠝
𒁐,12050,letter,CUNEIFORM SIGN BU CROSSING BU,⠃⠥⠯⠃⠥
