Character,Hex,AmericanTranslitteration,Logic,Type,Name,Braille
𒌈,12308,TUM,354,letter,DU12,DU12
𒌉,12309,TUR,255,letter,DU4,DU4
𒌊,1230A,TUR/TURZA/ZA,238,letter,DU13,DU13
𒌋,1230B,U,661,letter,TUR/TURZA/ZA,TUR/TURZA/ZA
𒌌,1230C,UGUD,128,letter,BUR3,BUR3
𒌍,1230D,UUU,711,letter,UL,UL
𒌎,1230E,U/UPA/PAGAR/GAR,238,letter,EŠ,EŠ
𒌏,1230F,U/USUR/SUR,238,letter,U/UPA/PAGAR/GAR,U/UPA/PAGAR/GAR
𒌐,12310,U/UUreversed/Ureversed,713,letter,U/USUR/SUR,U/USUR/SUR
𒌑,12311,U2,490,letter,MAŠGI,MAŠGI
𒌒,12312,UB,504,letter,U2,U2
𒌓,12313,UD,596,letter,AR2,AR2
𒌔,12314,UDKUI⠩U2,611,letter,BABBAR,BABBAR
𒌕,12315,UDxBAD,238,letter,UḪ2,UḪ2
𒌖,12316,UDxMI,597,letter,UDxBAD,UDxBAD
𒌗,12317,UDxU+U+U,238,letter,ITIMA2,ITIMA2
𒌘,12318,UDxU+U+Ugun⠘⠩,128,letter,DU16,DU16
𒌙,12319,UDgun⠘⠩,542,letter,UDxU+U+Ugunû,UDxU+U+Ugunû
𒌚,1231A,UD⠩e⠩ig,20,letter,UDgunû,UDgunû
𒌛,1231B,UD⠩e⠩igxBAD,238,letter,ITI,ITI
𒌜,1231C,UDUG,833,letter,UDšešigxBAD,UDšešigxBAD
𒌝,1231D,UM,238,letter,UDUG,UDUG
𒌞,1231E,UMxLAGAB,238,letter,UM,UM
𒌟,1231F,UMxME+DA,241,letter,UMxLAGAB,UMxLAGAB
𒌠,12320,UMxI⠩A3,128,letter,UMxME+DA,UMxME+DA
𒌡,12321,UMxU,239,letter,UMxŠA3,UMxŠA3
𒌢,12322,UMBIN,238,letter,UMxU,UMxU
𒌣,12323,UMUM,238,letter,UMBIN,UMBIN
𒌤,12324,UMUMxKASKAL,238,letter,DU19,DU19
𒌥,12325,UMUMxPA,238,letter,DE2,DE2
𒌦,12326,UN,501,letter,UMUMxPA,UMUMxPA
𒌧,12327,UNgun⠘⠩,238,letter,KALAM,KALAM
𒌨,12328,UR,828,letter,UNgunû,UNgunû
𒌩,12329,URcrossingUR,828v,letter,HUL,HUL
𒌪,1232A,UR⠩e⠩ig,829,letter,URcrossingUR,URcrossingUR
𒌫,1232B,UR2,341,letter,URšešig,URšešig
𒌬,1232C,UR2xA+I⠡A,346,letter,UR2,UR2
𒌭,1232D,UR2xA+NA,238,letter,UR2xA+ḪA,UR2xA+ḪA
𒌮,1232E,UR2xAL,343,letter,UR2xA+NA,UR2xA+NA
𒌯,1232F,UR2xI⠡A,347,letter,UR2xAL,UR2xAL
𒌰,12330,UR2xNUN,342,letter,UR2xḪA,UR2xḪA
𒌱,12331,UR2xU2,344,letter,UR2xNUN,UR2xNUN
𒌲,12332,UR2xU2+AI⠩,345,letter,UR2xU2,UR2xU2
𒌳,12333,UR2xU2+BI,238,letter,UR2xU2+AŠ,UR2xU2+AŠ
𒌴,12334,UR4,835,letter,UR2xU2+BI,UR2xU2+BI
𒌵,12335,URI,574,letter,UR4,UR4
𒌶,12336,URI3,128,letter,BUR/BUR,BUR/BUR
𒌷,12337,URU,71,letter,URI3,URI3
𒌸,12338,URUxA,81,letter,RI2,RI2
𒌹,12339,URUxAI⠩GAB,238,letter,URUxA,URUxA
𒌺,1233A,URUxBAR,73,letter,URUxAŠGAB,URUxAŠGAB
𒌻,1233B,URUxDUN,238,letter,UKKIN,UKKIN
𒌼,1233C,URUxGA,76,letter,URUxDUN,URUxDUN
𒌽,1233D,URUxGAL,238,letter,URUxGA,URUxGA
𒌾,1233E,URUxGAN2ten⠘⠩,74,letter,URUxGAL,URUxGAL
𒌿,1233F,URUxGAR,83,letter,URUxGAN2tenû,URUxGAN2tenû
𒍀,12340,URUxGU,84,letter,URUxGAR,URUxGAR
