URL,Text
../manuals/brl_in_asia.pdf#page=31,"Hebrew Script in Braille in Asia by Tetsuiji Tanaka, Japan Braille Library (pdf page 31)"
../manuals/wbu_1990.pdf#page=50,Hebrew Language from World Braille Useage (pdf page 50)
docdus/pge4e5.txt,"For Dusci, add $DFB0 to Unicode"
pdf/u0590.pdf,Unicode Chart for 0590-05FF
