"Character(decimal)","Decimal","Character(hex)","Hex","Name","Braille"
"𒁀","73792","𒁀","12040","CUNEIFORM SIGN BA","ba"
"𒁁","73793","𒁁","12041","CUNEIFORM SIGN BAD","bad"
"𒁂","73794","𒁂","12042","CUNEIFORM SIGN BAG3","bag3"
"𒁃","73795","𒁃","12043","CUNEIFORM SIGN BAHAR2","bahar2"
"𒁄","73796","𒁄","12044","CUNEIFORM SIGN BAL","bal"
"𒁅","73797","𒁅","12045","CUNEIFORM SIGN BAL OVER BAL","bal[q~/]bal"
"𒁆","73798","𒁆","12046","CUNEIFORM SIGN BALAG","balag"
"𒁇","73799","𒁇","12047","CUNEIFORM SIGN BAR","bar"
"𒁈","73800","𒁈","12048","CUNEIFORM SIGN BARA2","bara2"
"𒁉","73801","𒁉","12049","CUNEIFORM SIGN BI","bi"
"𒁊","73802","𒁊","1204A","CUNEIFORM SIGN BI TIMES A","bi[q~*]a"
"𒁋","73803","𒁋","1204B","CUNEIFORM SIGN BI TIMES GAR","bi[q~*]gar"
"𒁌","73804","𒁌","1204C","CUNEIFORM SIGN BI TIMES IGI GUNU","bi[q~*]igi gunu"
"𒁍","73805","𒁍","1204D","CUNEIFORM SIGN BU","bu"
"𒁎","73806","𒁎","1204E","CUNEIFORM SIGN BU OVER BU AB","bu[q~/]bu ab"
"𒁏","73807","𒁏","1204F","CUNEIFORM SIGN BU OVER BU UN","bu[q~/]bu un"
"𒁐","73808","𒁐","12050","CUNEIFORM SIGN BU CROSSING BU","bu[q~&]bu"
"𒁑","73809","𒁑","12051","CUNEIFORM SIGN BULUG","bulug"
"𒁒","73810","𒁒","12052","CUNEIFORM SIGN BULUG OVER BULUG","bulug[q~/]bulug"
"𒁓","73811","𒁓","12053","CUNEIFORM SIGN BUR","bur"
"𒁔","73812","𒁔","12054","CUNEIFORM SIGN BUR2","bur2"
"𒁕","73813","𒁕","12055","CUNEIFORM SIGN DA","da"
"𒁖","73814","𒁖","12056","CUNEIFORM SIGN DAG","dag"
"𒁗","73815","𒁗","12057","CUNEIFORM SIGN DAG KISIM5 TIMES A PLUS MASH","dag kisim5[q~*]a[q~+]mash"
"𒁘","73816","𒁘","12058","CUNEIFORM SIGN DAG KISIM5 TIMES AMAR","dag kisim5[q~*]amar"
"𒁙","73817","𒁙","12059","CUNEIFORM SIGN DAG KISIM5 TIMES BALAG","dag kisim5[q~*]balag"
"𒁚","73818","𒁚","1205A","CUNEIFORM SIGN DAG KISIM5 TIMES BI","dag kisim5[q~*]bi"
"𒁛","73819","𒁛","1205B","CUNEIFORM SIGN DAG KISIM5 TIMES GA","dag kisim5[q~*]ga"
"𒁜","73820","𒁜","1205C","CUNEIFORM SIGN DAG KISIM5 TIMES GA PLUS MASH","dag kisim5[q~*]ga[q~+]mash"
"𒁝","73821","𒁝","1205D","CUNEIFORM SIGN DAG KISIM5 TIMES GI","dag kisim5[q~*]gi"
"𒁞","73822","𒁞","1205E","CUNEIFORM SIGN DAG KISIM5 TIMES GIR2","dag kisim5[q~*]gir2"
"𒁟","73823","𒁟","1205F","CUNEIFORM SIGN DAG KISIM5 TIMES GUD","dag kisim5[q~*]gud"
"𒁠","73824","𒁠","12060","CUNEIFORM SIGN DAG KISIM5 TIMES HA","dag kisim5[q~*]ha"
"𒁡","73825","𒁡","12061","CUNEIFORM SIGN DAG KISIM5 TIMES IR","dag kisim5[q~*]ir"
"𒁢","73826","𒁢","12062","CUNEIFORM SIGN DAG KISIM5 TIMES IR PLUS LU","dag kisim5[q~*]ir[q~+]lu"
"𒁣","73827","𒁣","12063","CUNEIFORM SIGN DAG KISIM5 TIMES KAK","dag kisim5[q~*]kak"
"𒁤","73828","𒁤","12064","CUNEIFORM SIGN DAG KISIM5 TIMES LA","dag kisim5[q~*]la"
"𒁥","73829","𒁥","12065","CUNEIFORM SIGN DAG KISIM5 TIMES LU","dag kisim5[q~*]lu"
"𒁦","73830","𒁦","12066","CUNEIFORM SIGN DAG KISIM5 TIMES LU PLUS MASH2","dag kisim5[q~*]lu[q~+]mash2"
"𒁧","73831","𒁧","12067","CUNEIFORM SIGN DAG KISIM5 TIMES LUM","dag kisim5[q~*]lum"
"𒁨","73832","𒁨","12068","CUNEIFORM SIGN DAG KISIM5 TIMES NE","dag kisim5[q~*]ne"
"𒁩","73833","𒁩","12069","CUNEIFORM SIGN DAG KISIM5 TIMES PAP PLUS PAP","dag kisim5[q~*]pap[q~+]pap"
"𒁪","73834","𒁪","1206A","CUNEIFORM SIGN DAG KISIM5 TIMES SI","dag kisim5[q~*]si"
"𒁫","73835","𒁫","1206B","CUNEIFORM SIGN DAG KISIM5 TIMES TAK4","dag kisim5[q~*]tak4"
"𒁬","73836","𒁬","1206C","CUNEIFORM SIGN DAG KISIM5 TIMES U2 PLUS GIR2","dag kisim5[q~*]u2[q~+]gir2"
"𒁭","73837","𒁭","1206D","CUNEIFORM SIGN DAG KISIM5 TIMES USH","dag kisim5[q~*]ush"
"𒁮","73838","𒁮","1206E","CUNEIFORM SIGN DAM","dam"
"𒁯","73839","𒁯","1206F","CUNEIFORM SIGN DAR","dar"
"𒁰","73840","𒁰","12070","CUNEIFORM SIGN DARA3","dara3"
"𒁱","73841","𒁱","12071","CUNEIFORM SIGN DARA4","dara4"
"𒁲","73842","𒁲","12072","CUNEIFORM SIGN DI","di"
"𒁳","73843","𒁳","12073","CUNEIFORM SIGN DIB","dib"
"𒁴","73844","𒁴","12074","CUNEIFORM SIGN DIM","dim"
"𒁵","73845","𒁵","12075","CUNEIFORM SIGN DIM TIMES SHE","dim[q~*]she"
"𒁶","73846","𒁶","12076","CUNEIFORM SIGN DIM2","dim2"
"𒁷","73847","𒁷","12077","CUNEIFORM SIGN DIN","din"
"𒁸","73848","𒁸","12078","CUNEIFORM SIGN DIN KASKAL U GUNU DISH","din kaskal u gunu dish"
"𒁹","73849","𒁹","12079","CUNEIFORM SIGN DISH","dish"
"𒁺","73850","𒁺","1207A","CUNEIFORM SIGN DU","du"
"𒁻","73851","𒁻","1207B","CUNEIFORM SIGN DU OVER DU","du[q~/]du"
"𒁼","73852","𒁼","1207C","CUNEIFORM SIGN DU GUNU","du gunu"
"𒁽","73853","𒁽","1207D","CUNEIFORM SIGN DU SHESHIG","du sheshig"
"𒁾","73854","𒁾","1207E","CUNEIFORM SIGN DUB","dub"
"𒁿","73855","𒁿","1207F","CUNEIFORM SIGN DUB TIMES ESH2","dub[q~*]esh2"
"𒂀","73856","𒂀","12080","CUNEIFORM SIGN DUB2","dub2"
"𒂁","73857","𒂁","12081","CUNEIFORM SIGN DUG","dug"
"𒂂","73858","𒂂","12082","CUNEIFORM SIGN DUGUD","dugud"
"𒂃","73859","𒂃","12083","CUNEIFORM SIGN DUH","duh"
"𒂄","73860","𒂄","12084","CUNEIFORM SIGN DUN","dun"
"𒂅","73861","𒂅","12085","CUNEIFORM SIGN DUN3","dun3"
"𒂆","73862","𒂆","12086","CUNEIFORM SIGN DUN3 GUNU","dun3 gunu"
"𒂇","73863","𒂇","12087","CUNEIFORM SIGN DUN3 GUNU GUNU","dun3 gunu gunu"
"𒂈","73864","𒂈","12088","CUNEIFORM SIGN DUN4","dun4"
"𒂉","73865","𒂉","12089","CUNEIFORM SIGN DUR2","dur2"
"𒂊","73866","𒂊","1208A","CUNEIFORM SIGN E","e"
"𒂋","73867","𒂋","1208B","CUNEIFORM SIGN E TIMES PAP","e[q~*]pap"
"𒂌","73868","𒂌","1208C","CUNEIFORM SIGN E OVER E NUN OVER NUN","e[q~/]e nun[q~/]nun"
"𒂍","73869","𒂍","1208D","CUNEIFORM SIGN E2","e2"
"𒂎","73870","𒂎","1208E","CUNEIFORM SIGN E2 TIMES A PLUS HA PLUS DA","e2[q~*]a[q~+]ha[q~+]da"
"𒂏","73871","𒂏","1208F","CUNEIFORM SIGN E2 TIMES GAR","e2[q~*]gar"
"𒂐","73872","𒂐","12090","CUNEIFORM SIGN E2 TIMES MI","e2[q~*]mi"
"𒂑","73873","𒂑","12091","CUNEIFORM SIGN E2 TIMES SAL","e2[q~*]sal"
"𒂒","73874","𒂒","12092","CUNEIFORM SIGN E2 TIMES SHE","e2[q~*]she"
"𒂓","73875","𒂓","12093","CUNEIFORM SIGN E2 TIMES U","e2[q~*]u"
"𒂔","73876","𒂔","12094","CUNEIFORM SIGN EDIN","edin"
"𒂕","73877","𒂕","12095","CUNEIFORM SIGN EGIR","egir"
"𒂖","73878","𒂖","12096","CUNEIFORM SIGN EL","el"
"𒂗","73879","𒂗","12097","CUNEIFORM SIGN EN","en"
"𒂘","73880","𒂘","12098","CUNEIFORM SIGN EN TIMES GAN2","en[q~*]gan2"
"𒂙","73881","𒂙","12099","CUNEIFORM SIGN EN TIMES GAN2 TENU","en[q~*]gan2 tenu"
"𒂚","73882","𒂚","1209A","CUNEIFORM SIGN EN TIMES ME","en[q~*]me"
"𒂛","73883","𒂛","1209B","CUNEIFORM SIGN EN CROSSING EN","en[q~&]en"
"𒂜","73884","𒂜","1209C","CUNEIFORM SIGN EN OPPOSING EN","en[q~$]en"
"𒂝","73885","𒂝","1209D","CUNEIFORM SIGN EN SQUARED","en[q~^][q~^]"
"𒂞","73886","𒂞","1209E","CUNEIFORM SIGN EREN","eren"
"𒂟","73887","𒂟","1209F","CUNEIFORM SIGN ERIN2","erin2"
"𒂠","73888","𒂠","120A0","CUNEIFORM SIGN ESH2","esh2"
"𒂡","73889","𒂡","120A1","CUNEIFORM SIGN EZEN","ezen"
"𒂢","73890","𒂢","120A2","CUNEIFORM SIGN EZEN TIMES A","ezen[q~*]a"
"𒂣","73891","𒂣","120A3","CUNEIFORM SIGN EZEN TIMES A PLUS LAL","ezen[q~*]a[q~+]lal"
"𒂤","73892","𒂤","120A4","CUNEIFORM SIGN EZEN TIMES A PLUS LAL TIMES LAL","ezen[q~*]a[q~+]lal[q~*]lal"
"𒂥","73893","𒂥","120A5","CUNEIFORM SIGN EZEN TIMES AN","ezen[q~*]an"
"𒂦","73894","𒂦","120A6","CUNEIFORM SIGN EZEN TIMES BAD","ezen[q~*]bad"
"𒂧","73895","𒂧","120A7","CUNEIFORM SIGN EZEN TIMES DUN3 GUNU","ezen[q~*]dun3 gunu"
"𒂨","73896","𒂨","120A8","CUNEIFORM SIGN EZEN TIMES DUN3 GUNU GUNU","ezen[q~*]dun3 gunu gunu"
"𒂩","73897","𒂩","120A9","CUNEIFORM SIGN EZEN TIMES HA","ezen[q~*]ha"
"𒂪","73898","𒂪","120AA","CUNEIFORM SIGN EZEN TIMES HA GUNU","ezen[q~*]ha gunu"
"𒂫","73899","𒂫","120AB","CUNEIFORM SIGN EZEN TIMES IGI GUNU","ezen[q~*]igi gunu"
"𒂬","73900","𒂬","120AC","CUNEIFORM SIGN EZEN TIMES KASKAL","ezen[q~*]kaskal"
"𒂭","73901","𒂭","120AD","CUNEIFORM SIGN EZEN TIMES KASKAL SQUARED","ezen[q~*]kaskal[q~^][q~^]"
"𒂮","73902","𒂮","120AE","CUNEIFORM SIGN EZEN TIMES KU3","ezen[q~*]ku3"
"𒂯","73903","𒂯","120AF","CUNEIFORM SIGN EZEN TIMES LA","ezen[q~*]la"
"𒂰","73904","𒂰","120B0","CUNEIFORM SIGN EZEN TIMES LAL TIMES LAL","ezen[q~*]lal[q~*]lal"
"𒂱","73905","𒂱","120B1","CUNEIFORM SIGN EZEN TIMES LI","ezen[q~*]li"
"𒂲","73906","𒂲","120B2","CUNEIFORM SIGN EZEN TIMES LU","ezen[q~*]lu"
"𒂳","73907","𒂳","120B3","CUNEIFORM SIGN EZEN TIMES U2","ezen[q~*]u2"
"𒂴","73908","𒂴","120B4","CUNEIFORM SIGN EZEN TIMES UD","ezen[q~*]ud"
"𒂵","73909","𒂵","120B5","CUNEIFORM SIGN GA","ga"
"𒂶","73910","𒂶","120B6","CUNEIFORM SIGN GA GUNU","ga gunu"
"𒂷","73911","𒂷","120B7","CUNEIFORM SIGN GA2","ga2"
"𒂸","73912","𒂸","120B8","CUNEIFORM SIGN GA2 TIMES A PLUS DA PLUS HA","ga2[q~*]a[q~+]da[q~+]ha"
"𒂹","73913","𒂹","120B9","CUNEIFORM SIGN GA2 TIMES A PLUS HA","ga2[q~*]a[q~+]ha"
"𒂺","73914","𒂺","120BA","CUNEIFORM SIGN GA2 TIMES A PLUS IGI","ga2[q~*]a[q~+]igi"
"𒂻","73915","𒂻","120BB","CUNEIFORM SIGN GA2 TIMES AB2 TENU PLUS TAB","ga2[q~*]ab2 tenu[q~+]tab"
"𒂼","73916","𒂼","120BC","CUNEIFORM SIGN GA2 TIMES AN","ga2[q~*]an"
"𒂽","73917","𒂽","120BD","CUNEIFORM SIGN GA2 TIMES ASH","ga2[q~*]ash"
"𒂾","73918","𒂾","120BE","CUNEIFORM SIGN GA2 TIMES ASH2 PLUS GAL","ga2[q~*]ash2[q~+]gal"
"𒂿","73919","𒂿","120BF","CUNEIFORM SIGN GA2 TIMES BAD","ga2[q~*]bad"
"𒃀","73920","𒃀","120C0","CUNEIFORM SIGN GA2 TIMES BAR PLUS RA","ga2[q~*]bar[q~+]ra"
"𒃁","73921","𒃁","120C1","CUNEIFORM SIGN GA2 TIMES BUR","ga2[q~*]bur"
"𒃂","73922","𒃂","120C2","CUNEIFORM SIGN GA2 TIMES BUR PLUS RA","ga2[q~*]bur[q~+]ra"
"𒃃","73923","𒃃","120C3","CUNEIFORM SIGN GA2 TIMES DA","ga2[q~*]da"
"𒃄","73924","𒃄","120C4","CUNEIFORM SIGN GA2 TIMES DI","ga2[q~*]di"
"𒃅","73925","𒃅","120C5","CUNEIFORM SIGN GA2 TIMES DIM TIMES SHE","ga2[q~*]dim[q~*]she"
"𒃆","73926","𒃆","120C6","CUNEIFORM SIGN GA2 TIMES DUB","ga2[q~*]dub"
"𒃇","73927","𒃇","120C7","CUNEIFORM SIGN GA2 TIMES EL","ga2[q~*]el"
"𒃈","73928","𒃈","120C8","CUNEIFORM SIGN GA2 TIMES EL PLUS LA","ga2[q~*]el[q~+]la"
"𒃉","73929","𒃉","120C9","CUNEIFORM SIGN GA2 TIMES EN","ga2[q~*]en"
"𒃊","73930","𒃊","120CA","CUNEIFORM SIGN GA2 TIMES EN TIMES GAN2 TENU","ga2[q~*]en[q~*]gan2 tenu"
"𒃋","73931","𒃋","120CB","CUNEIFORM SIGN GA2 TIMES GAN2 TENU","ga2[q~*]gan2 tenu"
"𒃌","73932","𒃌","120CC","CUNEIFORM SIGN GA2 TIMES GAR","ga2[q~*]gar"
"𒃍","73933","𒃍","120CD","CUNEIFORM SIGN GA2 TIMES GI","ga2[q~*]gi"
"𒃎","73934","𒃎","120CE","CUNEIFORM SIGN GA2 TIMES GI4","ga2[q~*]gi4"
"𒃏","73935","𒃏","120CF","CUNEIFORM SIGN GA2 TIMES GI4 PLUS A","ga2[q~*]gi4[q~+]a"
"𒃐","73936","𒃐","120D0","CUNEIFORM SIGN GA2 TIMES GIR2 PLUS SU","ga2[q~*]gir2[q~+]su"
"𒃑","73937","𒃑","120D1","CUNEIFORM SIGN GA2 TIMES HA PLUS LU PLUS ESH2","ga2[q~*]ha[q~+]lu[q~+]esh2"
"𒃒","73938","𒃒","120D2","CUNEIFORM SIGN GA2 TIMES HAL","ga2[q~*]hal"
"𒃓","73939","𒃓","120D3","CUNEIFORM SIGN GA2 TIMES HAL PLUS LA","ga2[q~*]hal[q~+]la"
"𒃔","73940","𒃔","120D4","CUNEIFORM SIGN GA2 TIMES HI PLUS LI","ga2[q~*]hi[q~+]li"
"𒃕","73941","𒃕","120D5","CUNEIFORM SIGN GA2 TIMES HUB2","ga2[q~*]hub2"
"𒃖","73942","𒃖","120D6","CUNEIFORM SIGN GA2 TIMES IGI GUNU","ga2[q~*]igi gunu"
"𒃗","73943","𒃗","120D7","CUNEIFORM SIGN GA2 TIMES ISH PLUS HU PLUS ASH","ga2[q~*]ish[q~+]hu[q~+]ash"
"𒃘","73944","𒃘","120D8","CUNEIFORM SIGN GA2 TIMES KAK","ga2[q~*]kak"
"𒃙","73945","𒃙","120D9","CUNEIFORM SIGN GA2 TIMES KASKAL","ga2[q~*]kaskal"
"𒃚","73946","𒃚","120DA","CUNEIFORM SIGN GA2 TIMES KID","ga2[q~*]kid"
"𒃛","73947","𒃛","120DB","CUNEIFORM SIGN GA2 TIMES KID PLUS LAL","ga2[q~*]kid[q~+]lal"
"𒃜","73948","𒃜","120DC","CUNEIFORM SIGN GA2 TIMES KU3 PLUS AN","ga2[q~*]ku3[q~+]an"
"𒃝","73949","𒃝","120DD","CUNEIFORM SIGN GA2 TIMES LA","ga2[q~*]la"
"𒃞","73950","𒃞","120DE","CUNEIFORM SIGN GA2 TIMES ME PLUS EN","ga2[q~*]me[q~+]en"
"𒃟","73951","𒃟","120DF","CUNEIFORM SIGN GA2 TIMES MI","ga2[q~*]mi"
"𒃠","73952","𒃠","120E0","CUNEIFORM SIGN GA2 TIMES NUN","ga2[q~*]nun"
"𒃡","73953","𒃡","120E1","CUNEIFORM SIGN GA2 TIMES NUN OVER NUN","ga2[q~*]nun[q~/]nun"
"𒃢","73954","𒃢","120E2","CUNEIFORM SIGN GA2 TIMES PA","ga2[q~*]pa"
"𒃣","73955","𒃣","120E3","CUNEIFORM SIGN GA2 TIMES SAL","ga2[q~*]sal"
"𒃤","73956","𒃤","120E4","CUNEIFORM SIGN GA2 TIMES SAR","ga2[q~*]sar"
"𒃥","73957","𒃥","120E5","CUNEIFORM SIGN GA2 TIMES SHE","ga2[q~*]she"
"𒃦","73958","𒃦","120E6","CUNEIFORM SIGN GA2 TIMES SHE PLUS TUR","ga2[q~*]she[q~+]tur"
"𒃧","73959","𒃧","120E7","CUNEIFORM SIGN GA2 TIMES SHID","ga2[q~*]shid"
"𒃨","73960","𒃨","120E8","CUNEIFORM SIGN GA2 TIMES SUM","ga2[q~*]sum"
"𒃩","73961","𒃩","120E9","CUNEIFORM SIGN GA2 TIMES TAK4","ga2[q~*]tak4"
"𒃪","73962","𒃪","120EA","CUNEIFORM SIGN GA2 TIMES U","ga2[q~*]u"
"𒃫","73963","𒃫","120EB","CUNEIFORM SIGN GA2 TIMES UD","ga2[q~*]ud"
"𒃬","73964","𒃬","120EC","CUNEIFORM SIGN GA2 TIMES UD PLUS DU","ga2[q~*]ud[q~+]du"
"𒃭","73965","𒃭","120ED","CUNEIFORM SIGN GA2 OVER GA2","ga2[q~/]ga2"
"𒃮","73966","𒃮","120EE","CUNEIFORM SIGN GABA","gaba"
"𒃯","73967","𒃯","120EF","CUNEIFORM SIGN GABA CROSSING GABA","gaba[q~&]gaba"
"𒃰","73968","𒃰","120F0","CUNEIFORM SIGN GAD","gad"
"𒃱","73969","𒃱","120F1","CUNEIFORM SIGN GAD OVER GAD GAR OVER GAR","gad[q~/]gad gar[q~/]gar"
"𒃲","73970","𒃲","120F2","CUNEIFORM SIGN GAL","gal"
"𒃳","73971","𒃳","120F3","CUNEIFORM SIGN GAL GAD OVER GAD GAR OVER GAR","gal gad[q~/]gad gar[q~/]gar"
"𒃴","73972","𒃴","120F4","CUNEIFORM SIGN GALAM","galam"
"𒃵","73973","𒃵","120F5","CUNEIFORM SIGN GAM","gam"
"𒃶","73974","𒃶","120F6","CUNEIFORM SIGN GAN","gan"
"𒃷","73975","𒃷","120F7","CUNEIFORM SIGN GAN2","gan2"
"𒃸","73976","𒃸","120F8","CUNEIFORM SIGN GAN2 TENU","gan2 tenu"
"𒃹","73977","𒃹","120F9","CUNEIFORM SIGN GAN2 OVER GAN2","gan2[q~/]gan2"
"𒃺","73978","𒃺","120FA","CUNEIFORM SIGN GAN2 CROSSING GAN2","gan2[q~&]gan2"
"𒃻","73979","𒃻","120FB","CUNEIFORM SIGN GAR","gar"
"𒃼","73980","𒃼","120FC","CUNEIFORM SIGN GAR3","gar3"
"𒃽","73981","𒃽","120FD","CUNEIFORM SIGN GASHAN","gashan"
"𒃾","73982","𒃾","120FE","CUNEIFORM SIGN GESHTIN","geshtin"
"𒃿","73983","𒃿","120FF","CUNEIFORM SIGN GESHTIN TIMES KUR","geshtin[q~*]kur"
"𒄀","73984","𒄀","12100","CUNEIFORM SIGN GI","gi"
"𒄁","73985","𒄁","12101","CUNEIFORM SIGN GI TIMES E","gi[q~*]e"
"𒄂","73986","𒄂","12102","CUNEIFORM SIGN GI TIMES U","gi[q~*]u"
"𒄃","73987","𒄃","12103","CUNEIFORM SIGN GI CROSSING GI","gi[q~&]gi"
"𒄄","73988","𒄄","12104","CUNEIFORM SIGN GI4","gi4"
"𒄅","73989","𒄅","12105","CUNEIFORM SIGN GI4 OVER GI4","gi4[q~/]gi4"
"𒄆","73990","𒄆","12106","CUNEIFORM SIGN GI4 CROSSING GI4","gi4[q~&]gi4"
"𒄇","73991","𒄇","12107","CUNEIFORM SIGN GIDIM","gidim"
"𒄈","73992","𒄈","12108","CUNEIFORM SIGN GIR2","gir2"
"𒄉","73993","𒄉","12109","CUNEIFORM SIGN GIR2 GUNU","gir2 gunu"
"𒄊","73994","𒄊","1210A","CUNEIFORM SIGN GIR3","gir3"
"𒄋","73995","𒄋","1210B","CUNEIFORM SIGN GIR3 TIMES A PLUS IGI","gir3[q~*]a[q~+]igi"
"𒄌","73996","𒄌","1210C","CUNEIFORM SIGN GIR3 TIMES GAN2 TENU","gir3[q~*]gan2 tenu"
"𒄍","73997","𒄍","1210D","CUNEIFORM SIGN GIR3 TIMES IGI","gir3[q~*]igi"
"𒄎","73998","𒄎","1210E","CUNEIFORM SIGN GIR3 TIMES LU PLUS IGI","gir3[q~*]lu[q~+]igi"
"𒄏","73999","𒄏","1210F","CUNEIFORM SIGN GIR3 TIMES PA","gir3[q~*]pa"
"𒄐","74000","𒄐","12110","CUNEIFORM SIGN GISAL","gisal"
"𒄑","74001","𒄑","12111","CUNEIFORM SIGN GISH","gish"
"𒄒","74002","𒄒","12112","CUNEIFORM SIGN GISH CROSSING GISH","gish[q~&]gish"
"𒄓","74003","𒄓","12113","CUNEIFORM SIGN GISH TIMES BAD","gish[q~*]bad"
"𒄔","74004","𒄔","12114","CUNEIFORM SIGN GISH TIMES TAK4","gish[q~*]tak4"
"𒄕","74005","𒄕","12115","CUNEIFORM SIGN GISH TENU","gish tenu"
"𒄖","74006","𒄖","12116","CUNEIFORM SIGN GU","gu"
"𒄗","74007","𒄗","12117","CUNEIFORM SIGN GU CROSSING GU","gu[q~&]gu"
"𒄘","74008","𒄘","12118","CUNEIFORM SIGN GU2","gu2"
"𒄙","74009","𒄙","12119","CUNEIFORM SIGN GU2 TIMES KAK","gu2[q~*]kak"
"𒄚","74010","𒄚","1211A","CUNEIFORM SIGN GU2 TIMES KAK TIMES IGI GUNU","gu2[q~*]kak[q~*]igi gunu"
"𒄛","74011","𒄛","1211B","CUNEIFORM SIGN GU2 TIMES NUN","gu2[q~*]nun"
"𒄜","74012","𒄜","1211C","CUNEIFORM SIGN GU2 TIMES SAL PLUS TUG2","gu2[q~*]sal[q~+]tug2"
"𒄝","74013","𒄝","1211D","CUNEIFORM SIGN GU2 GUNU","gu2 gunu"
"𒄞","74014","𒄞","1211E","CUNEIFORM SIGN GUD","gud"
"𒄟","74015","𒄟","1211F","CUNEIFORM SIGN GUD TIMES A PLUS KUR","gud[q~*]a[q~+]kur"
"𒄠","74016","𒄠","12120","CUNEIFORM SIGN GUD TIMES KUR","gud[q~*]kur"
"𒄡","74017","𒄡","12121","CUNEIFORM SIGN GUD OVER GUD LUGAL","gud[q~/]gud lugal"
"𒄢","74018","𒄢","12122","CUNEIFORM SIGN GUL","gul"
"𒄣","74019","𒄣","12123","CUNEIFORM SIGN GUM","gum"
"𒄤","74020","𒄤","12124","CUNEIFORM SIGN GUM TIMES SHE","gum[q~*]she"
"𒄥","74021","𒄥","12125","CUNEIFORM SIGN GUR","gur"
"𒄦","74022","𒄦","12126","CUNEIFORM SIGN GUR7","gur7"
"𒄧","74023","𒄧","12127","CUNEIFORM SIGN GURUN","gurun"
"𒄨","74024","𒄨","12128","CUNEIFORM SIGN GURUSH","gurush"
"𒄩","74025","𒄩","12129","CUNEIFORM SIGN HA","ha"
"𒄪","74026","𒄪","1212A","CUNEIFORM SIGN HA TENU","ha tenu"
"𒄫","74027","𒄫","1212B","CUNEIFORM SIGN HA GUNU","ha gunu"
"𒄬","74028","𒄬","1212C","CUNEIFORM SIGN HAL","hal"
"𒄭","74029","𒄭","1212D","CUNEIFORM SIGN HI","hi"
"𒄮","74030","𒄮","1212E","CUNEIFORM SIGN HI TIMES ASH","hi[q~*]ash"
"𒄯","74031","𒄯","1212F","CUNEIFORM SIGN HI TIMES ASH2","hi[q~*]ash2"
"𒄰","74032","𒄰","12130","CUNEIFORM SIGN HI TIMES BAD","hi[q~*]bad"
"𒄱","74033","𒄱","12131","CUNEIFORM SIGN HI TIMES DISH","hi[q~*]dish"
"𒄲","74034","𒄲","12132","CUNEIFORM SIGN HI TIMES GAD","hi[q~*]gad"
"𒄳","74035","𒄳","12133","CUNEIFORM SIGN HI TIMES KIN","hi[q~*]kin"
"𒄴","74036","𒄴","12134","CUNEIFORM SIGN HI TIMES NUN","hi[q~*]nun"
"𒄵","74037","𒄵","12135","CUNEIFORM SIGN HI TIMES SHE","hi[q~*]she"
"𒄶","74038","𒄶","12136","CUNEIFORM SIGN HI TIMES U","hi[q~*]u"
"𒄷","74039","𒄷","12137","CUNEIFORM SIGN HU","hu"
"𒄸","74040","𒄸","12138","CUNEIFORM SIGN HUB2","hub2"
"𒄹","74041","𒄹","12139","CUNEIFORM SIGN HUB2 TIMES AN","hub2[q~*]an"
"𒄺","74042","𒄺","1213A","CUNEIFORM SIGN HUB2 TIMES HAL","hub2[q~*]hal"
"𒄻","74043","𒄻","1213B","CUNEIFORM SIGN HUB2 TIMES KASKAL","hub2[q~*]kaskal"
"𒄼","74044","𒄼","1213C","CUNEIFORM SIGN HUB2 TIMES LISH","hub2[q~*]lish"
"𒄽","74045","𒄽","1213D","CUNEIFORM SIGN HUB2 TIMES UD","hub2[q~*]ud"
"𒄾","74046","𒄾","1213E","CUNEIFORM SIGN HUL2","hul2"
"𒄿","74047","𒄿","1213F","CUNEIFORM SIGN I","i"
"𒅀","74048","𒅀","12140","CUNEIFORM SIGN I A","i a"
"𒅁","74049","𒅁","12141","CUNEIFORM SIGN IB","ib"
"𒅂","74050","𒅂","12142","CUNEIFORM SIGN IDIM","idim"
"𒅃","74051","𒅃","12143","CUNEIFORM SIGN IDIM OVER IDIM BUR","idim[q~/]idim bur"
"𒅄","74052","𒅄","12144","CUNEIFORM SIGN IDIM OVER IDIM SQUARED","idim[q~/]idim[q~^][q~^]"
"𒅅","74053","𒅅","12145","CUNEIFORM SIGN IG","ig"
"𒅆","74054","𒅆","12146","CUNEIFORM SIGN IGI","igi"
"𒅇","74055","𒅇","12147","CUNEIFORM SIGN IGI DIB","igi dib"
"𒅈","74056","𒅈","12148","CUNEIFORM SIGN IGI RI","igi ri"
"𒅉","74057","𒅉","12149","CUNEIFORM SIGN IGI OVER IGI SHIR OVER SHIR UD OVER UD","igi[q~/]igi shir[q~/]shir ud[q~/]ud"
"𒅊","74058","𒅊","1214A","CUNEIFORM SIGN IGI GUNU","igi gunu"
"𒅋","74059","𒅋","1214B","CUNEIFORM SIGN IL","il"
"𒅌","74060","𒅌","1214C","CUNEIFORM SIGN IL TIMES GAN2 TENU","il[q~*]gan2 tenu"
"𒅍","74061","𒅍","1214D","CUNEIFORM SIGN IL2","il2"
"𒅎","74062","𒅎","1214E","CUNEIFORM SIGN IM","im"
"𒅏","74063","𒅏","1214F","CUNEIFORM SIGN IM TIMES TAK4","im[q~*]tak4"
"𒅐","74064","𒅐","12150","CUNEIFORM SIGN IM CROSSING IM","im[q~&]im"
