Character(decimal),Name,Braille
𐎀,ALPA,⠁
𐎁,BETA,⠃
𐎂,GAMLA,⠛
𐎃,KHA,⠡
𐎄,DELTA,⠙
𐎅,HO,⠓
𐎆,WO,⠺
𐎇,ZETA,⠵
𐎈,HOTA,⠭
𐎉,TET,⠐⠞
𐎊,YOD,⠽
𐎋,KAF,⠅
𐎌,SHIN,⠩
𐎍,LAMDA,⠇
𐎎,MEM,⠍
𐎏,DHAL,⠰⠙
𐎐,NUN,⠝
𐎑,ZU,⠐⠵
𐎒,SAMKA,⠯
𐎓,AIN,⠫
𐎔,PU,⠏
𐎕,SADE,⠐⠎
𐎖,QOPA,⠟
𐎗,RASHA,⠗
𐎘,THANNA,⠹
𐎙,GHAIN,⠘⠌⠛
𐎚,TO,⠞
𐎛,I,⠊
𐎜,U,⠥
𐎝,SSU,⠎⠳
𐎟,WORD DIVIDER,⠤
 , , 
