Character(decimal),Name,Braille
𒁑,BULUG,⠃⠥⠇⠥⠛
𒁒,BULUG OVER BULUG,⠃⠥⠇⠥⠛⠐⠌⠃⠥⠇⠥⠛
𒁓,BUR,⠃⠥⠗
𒁔,BUR2,⠃⠥⠗⠼⠃
𒁕,DA,⠙⠁
𒁖,DAG,⠙⠁⠛
𒁗,DAG KISIM5 TIMES A PLUS MASH,⠙⠁⠛ ⠅⠊⠎⠊⠍⠼⠑⠐⠦⠁⠐⠖⠍⠁⠎⠓
𒁘,DAG KISIM5 TIMES AMAR,⠙⠁⠛ ⠅⠊⠎⠊⠍⠼⠑⠐⠦⠁⠍⠁⠗
𒁙,DAG KISIM5 TIMES BALAG,⠙⠁⠛ ⠅⠊⠎⠊⠍⠼⠑⠐⠦⠃⠁⠇⠁⠛
𒁚,DAG KISIM5 TIMES BI,⠙⠁⠛ ⠅⠊⠎⠊⠍⠼⠑⠐⠦⠃⠊
𒁛,DAG KISIM5 TIMES GA,⠙⠁⠛ ⠅⠊⠎⠊⠍⠼⠑⠐⠦⠛⠁
𒁜,DAG KISIM5 TIMES GA PLUS MASH,⠙⠁⠛ ⠅⠊⠎⠊⠍⠼⠑⠐⠦⠛⠁⠐⠖⠍⠁⠎⠓
𒁝,DAG KISIM5 TIMES GI,⠙⠁⠛ ⠅⠊⠎⠊⠍⠼⠑⠐⠦⠛⠊
𒁞,DAG KISIM5 TIMES GIR2,⠙⠁⠛ ⠅⠊⠎⠊⠍⠼⠑⠐⠦⠛⠊⠗⠼⠃
𒁟,DAG KISIM5 TIMES GUD,⠙⠁⠛ ⠅⠊⠎⠊⠍⠼⠑⠐⠦⠛⠥⠙
𒁠,DAG KISIM5 TIMES HA,⠙⠁⠛ ⠅⠊⠎⠊⠍⠼⠑⠐⠦⠓⠁
𒁡,DAG KISIM5 TIMES IR,⠙⠁⠛ ⠅⠊⠎⠊⠍⠼⠑⠐⠦⠊⠗
