Character(decimal),Name,Braille
𒅄,IDIM OVER IDIM SQUARED,⠊⠙⠊⠍⠐⠌⠊⠙⠊⠍⠔⠼⠃
𒅅,IG,⠊⠛
𒅆,IGI,⠊⠛⠊
𒅇,IGI DIB,⠊⠛⠊ ⠙⠊⠃
𒅈,IGI RI,⠊⠛⠊ ⠗⠊
𒅉,IGI OVER IGI SHIR OVER SHIR UD OVER UD,⠊⠛⠊⠐⠌⠊⠛⠊ ⠎⠓⠊⠗⠐⠌⠎⠓⠊⠗ ⠥⠙⠐⠌⠥⠙
𒅊,IGI GUNU,⠊⠛⠊ ⠛⠥⠝⠥
𒅋,IL,⠊⠇
𒅌,IL TIMES GAN2 TENU,⠊⠇⠐⠦⠛⠁⠝⠼⠃ ⠞⠑⠝⠥
𒅍,IL2,⠊⠇⠼⠃
𒅎,IM,⠊⠍
𒅏,IM TIMES TAK4,⠊⠍⠐⠦⠞⠁⠅⠼⠙
𒅐,IM CROSSING IM,⠊⠍⠈⠯⠊⠍
𒅑,IM OPPOSING IM,⠊⠍⠈⠎⠊⠍
𒅒,IM SQUARED,⠊⠍⠔⠼⠃
𒅓,IMIN,⠊⠍⠊⠝
𒅔,IN,⠊⠝
𒅕,IR,⠊⠗
𒅖,ISH,⠊⠎⠓
𒅗,KA,⠅⠁
𒅘,KA TIMES A,⠅⠁⠐⠦⠁
𒅙,KA TIMES AD,⠅⠁⠐⠦⠁⠙
𒅚,KA TIMES AD PLUS KU3,⠅⠁⠐⠦⠁⠙⠐⠖⠅⠥⠼⠉
𒅛,KA TIMES ASH2,⠅⠁⠐⠦⠁⠎⠓⠼⠃
𒅜,KA TIMES BAD,⠅⠁⠐⠦⠃⠁⠙
𒅝,KA TIMES BALAG,⠅⠁⠐⠦⠃⠁⠇⠁⠛
𒅞,KA TIMES BAR,⠅⠁⠐⠦⠃⠁⠗
𒅟,KA TIMES BI,⠅⠁⠐⠦⠃⠊
𒅠,KA TIMES ERIN2,⠅⠁⠐⠦⠑⠗⠊⠝⠼⠃
𒅡,KA TIMES ESH2,⠅⠁⠐⠦⠑⠎⠓⠼⠃
𒅢,KA TIMES GA,⠅⠁⠐⠦⠛⠁
𒅣,KA TIMES GAL,⠅⠁⠐⠦⠛⠁⠇
𒅤,KA TIMES GAN2 TENU,⠅⠁⠐⠦⠛⠁⠝⠼⠃ ⠞⠑⠝⠥
𒅥,KA TIMES GAR,⠅⠁⠐⠦⠛⠁⠗
𒅦,KA TIMES GAR PLUS SHA3 PLUS A,⠅⠁⠐⠦⠛⠁⠗⠐⠖⠎⠓⠁⠼⠉⠐⠖⠁
𒅧,KA TIMES GI,⠅⠁⠐⠦⠛⠊
𒅨,KA TIMES GIR2,⠅⠁⠐⠦⠛⠊⠗⠼⠃
𒅩,KA TIMES GISH PLUS SAR,⠅⠁⠐⠦⠛⠊⠎⠓⠐⠖⠎⠁⠗
𒅪,KA TIMES GISH CROSSING GISH,⠅⠁⠐⠦⠛⠊⠎⠓⠈⠯⠛⠊⠎⠓
𒅫,KA TIMES GU,⠅⠁⠐⠦⠛⠥
𒅬,KA TIMES GUR7,⠅⠁⠐⠦⠛⠥⠗⠼⠛
𒅭,KA TIMES IGI,⠅⠁⠐⠦⠊⠛⠊
𒅮,KA TIMES IM,⠅⠁⠐⠦⠊⠍
𒅯,KA TIMES KAK,⠅⠁⠐⠦⠅⠁⠅
𒅰,KA TIMES KI,⠅⠁⠐⠦⠅⠊
𒅱,KA TIMES KID,⠅⠁⠐⠦⠅⠊⠙
𒅲,KA TIMES LI,⠅⠁⠐⠦⠇⠊
𒅳,KA TIMES LU,⠅⠁⠐⠦⠇⠥
𒅴,KA TIMES ME,⠅⠁⠐⠦⠍⠑
𒅵,KA TIMES ME PLUS DU,⠅⠁⠐⠦⠍⠑⠐⠖⠙⠥
𒅶,KA TIMES ME PLUS GI,⠅⠁⠐⠦⠍⠑⠐⠖⠛⠊
𒅷,KA TIMES ME PLUS TE,⠅⠁⠐⠦⠍⠑⠐⠖⠞⠑
𒅸,KA TIMES MI,⠅⠁⠐⠦⠍⠊
𒅹,KA TIMES MI PLUS NUNUZ,⠅⠁⠐⠦⠍⠊⠐⠖⠝⠥⠝⠥
𒅺,KA TIMES NE,⠅⠁⠐⠦⠝⠑
𒅻,KA TIMES NUN,⠅⠁⠐⠦⠝⠥⠝
𒅼,KA TIMES PI,⠅⠁⠐⠦⠏⠊
𒅽,KA TIMES RU,⠅⠁⠐⠦⠗⠥
𒅾,KA TIMES SA,⠅⠁⠐⠦⠎⠁
𒅿,KA TIMES SAR,⠅⠁⠐⠦⠎⠁⠗
𒆀,KA TIMES SHA,⠅⠁⠐⠦⠎⠓⠁
𒆁,KA TIMES SHE,⠅⠁⠐⠦⠎⠓⠑
𒆂,KA TIMES SHID,⠅⠁⠐⠦⠎⠓⠊⠙
𒆃,KA TIMES SHU,⠅⠁⠐⠦⠎⠓⠥
𒆄,KA TIMES SIG,⠅⠁⠐⠦⠎⠊⠛
𒆅,KA TIMES SUHUR,⠅⠁⠐⠦⠎⠥⠓⠥⠗
𒆆,KA TIMES TAR,⠅⠁⠐⠦⠞⠁⠗
𒆇,KA TIMES U,⠅⠁⠐⠦⠥
𒆈,KA TIMES U2,⠅⠁⠐⠦⠥⠼⠃
𒆉,KA TIMES UD,⠅⠁⠐⠦⠥⠙
𒆊,KA TIMES UMUM TIMES PA,⠅⠁⠐⠦⠥⠍⠥⠍⠐⠦⠏⠁
𒆋,KA TIMES USH,⠅⠁⠐⠦⠥⠎⠓
𒆌,KA TIMES ZI,⠅⠁⠐⠦⠵⠊
𒆍,KA2,⠅⠁⠼⠃
𒆎,KA2 CROSSING KA2,⠅⠁⠼⠃⠈⠯⠅⠁⠼⠃
𒆏,KAB,⠅⠁⠃
𒆐,KAD2,⠅⠁⠙⠼⠃
𒆑,KAD3,⠅⠁⠙⠼⠉
𒆒,KAD4,⠅⠁⠙⠼⠙
𒆓,KAD5,⠅⠁⠙⠼⠑
𒆔,KAD5 OVER KAD5,⠅⠁⠙⠼⠑⠐⠌⠅⠁⠙⠼⠑
𒆕,KAK,⠅⠁⠅
𒆖,KAK TIMES IGI GUNU,⠅⠁⠅⠐⠦⠊⠛⠊ ⠛⠥⠝⠥
𒆗,KAL,⠅⠁⠇
𒆘,KAL TIMES BAD,⠅⠁⠇⠐⠦⠃⠁⠙
𒆙,KAL CROSSING KAL,⠅⠁⠇⠈⠯⠅⠁⠇
𒆚,KAM2,⠅⠁⠍⠼⠃
𒆛,KAM4,⠅⠁⠍⠼⠙
𒆜,KASKAL,⠅⠁⠎⠅⠁⠇
𒆝,KASKAL LAGAB TIMES U OVER LAGAB TIMES U,⠅⠁⠎⠅⠁⠇ ⠇⠁⠛⠁⠃⠐⠦⠥⠐⠌⠇⠁⠛⠁⠃⠐⠦⠥
𒆞,KASKAL OVER KASKAL LAGAB TIMES U OVER LAGAB TIMES U,⠅⠁⠎⠅⠁⠇⠐⠌⠅⠁⠎⠅⠁⠇ ⠇⠁⠛⠁⠃⠐⠦⠥⠐⠌⠇⠁⠛⠁⠃⠐⠦⠥
𒆟,KESH2,⠅⠑⠎⠓⠼⠃
𒆠,KI,⠅⠊
𒆡,KI TIMES BAD,⠅⠊⠐⠦⠃⠁⠙
𒆢,KI TIMES U,⠅⠊⠐⠦⠥
𒆣,KI TIMES UD,⠅⠊⠐⠦⠥⠙
𒆤,KID,⠅⠊⠙
𒆥,KIN,⠅⠊⠝
𒆦,KISAL,⠅⠊⠎⠁⠇
𒆧,KISH,⠅⠊⠎⠓
𒆨,KISIM5,⠅⠊⠎⠊⠍⠼⠑
𒆩,KISIM5 OVER KISIM5,⠅⠊⠎⠊⠍⠼⠑⠐⠌⠅⠊⠎⠊⠍⠼⠑
𒆪,KU,⠅⠥
𒆫,KU OVER HI TIMES ASH2 KU OVER HI TIMES ASH2,⠅⠥⠐⠌⠓⠊⠐⠦⠁⠎⠓⠼⠃ ⠅⠥⠐⠌⠓⠊⠐⠦⠁⠎⠓⠼⠃
𒆬,KU3,⠅⠥⠼⠉
𒆭,KU4,⠅⠥⠼⠙
𒆮,KU4 VARIANT FORM,⠅⠥⠼⠙ ⠧⠁⠗⠊⠁⠝⠞ ⠋⠕⠗⠍
𒆯,KU7,⠅⠥⠼⠛
𒆰,KUL,⠅⠥⠇
𒆱,KUL GUNU,⠅⠥⠇ ⠛⠥⠝⠥
𒆲,KUN,⠅⠥⠝
𒆳,KUR,⠅⠥⠗
𒆴,KUR OPPOSING KUR,⠅⠥⠗⠈⠎⠅⠥⠗
𒆵,KUSHU2,⠅⠥⠎⠓⠥⠼⠃
𒆶,KWU318,⠅⠺⠥⠼⠉⠼⠁⠼⠓
𒆷,LA,⠇⠁
𒆸,LAGAB,⠇⠁⠛⠁⠃
𒆹,LAGAB TIMES A,⠇⠁⠛⠁⠃⠐⠦⠁
𒆺,LAGAB TIMES A PLUS DA PLUS HA,⠇⠁⠛⠁⠃⠐⠦⠁⠐⠖⠙⠁⠐⠖⠓⠁
𒆻,LAGAB TIMES A PLUS GAR,⠇⠁⠛⠁⠃⠐⠦⠁⠐⠖⠛⠁⠗
𒆼,LAGAB TIMES A PLUS LAL,⠇⠁⠛⠁⠃⠐⠦⠁⠐⠖⠇⠁⠇
𒆽,LAGAB TIMES AL,⠇⠁⠛⠁⠃⠐⠦⠁⠇
𒆾,LAGAB TIMES AN,⠇⠁⠛⠁⠃⠐⠦⠁⠝
𒆿,LAGAB TIMES ASH ZIDA TENU,⠇⠁⠛⠁⠃⠐⠦⠁⠎⠓ ⠵⠊⠙⠁ ⠞⠑⠝⠥
𒇀,LAGAB TIMES BAD,⠇⠁⠛⠁⠃⠐⠦⠃⠁⠙
𒇁,LAGAB TIMES BI,⠇⠁⠛⠁⠃⠐⠦⠃⠊
𒇂,LAGAB TIMES DAR,⠇⠁⠛⠁⠃⠐⠦⠙⠁⠗
𒇃,LAGAB TIMES EN,⠇⠁⠛⠁⠃⠐⠦⠑⠝
𒇄,LAGAB TIMES GA,⠇⠁⠛⠁⠃⠐⠦⠛⠁
𒇅,LAGAB TIMES GAR,⠇⠁⠛⠁⠃⠐⠦⠛⠁⠗
𒇆,LAGAB TIMES GUD,⠇⠁⠛⠁⠃⠐⠦⠛⠥⠙
𒇇,LAGAB TIMES GUD PLUS GUD,⠇⠁⠛⠁⠃⠐⠦⠛⠥⠙⠐⠖⠛⠥⠙
𒇈,LAGAB TIMES HA,⠇⠁⠛⠁⠃⠐⠦⠓⠁
𒇉,LAGAB TIMES HAL,⠇⠁⠛⠁⠃⠐⠦⠓⠁⠇
𒇊,LAGAB TIMES HI TIMES NUN,⠇⠁⠛⠁⠃⠐⠦⠓⠊⠐⠦⠝⠥⠝
𒇋,LAGAB TIMES IGI GUNU,⠇⠁⠛⠁⠃⠐⠦⠊⠛⠊ ⠛⠥⠝⠥
𒇌,LAGAB TIMES IM,⠇⠁⠛⠁⠃⠐⠦⠊⠍
𒇍,LAGAB TIMES IM PLUS HA,⠇⠁⠛⠁⠃⠐⠦⠊⠍⠐⠖⠓⠁
𒇎,LAGAB TIMES IM PLUS LU,⠇⠁⠛⠁⠃⠐⠦⠊⠍⠐⠖⠇⠥
𒇏,LAGAB TIMES KI,⠇⠁⠛⠁⠃⠐⠦⠅⠊
𒇐,LAGAB TIMES KIN,⠇⠁⠛⠁⠃⠐⠦⠅⠊⠝
𒇑,LAGAB TIMES KU3,⠇⠁⠛⠁⠃⠐⠦⠅⠥⠼⠉
𒇒,LAGAB TIMES KUL,⠇⠁⠛⠁⠃⠐⠦⠅⠥⠇
𒇓,LAGAB TIMES KUL PLUS HI PLUS A,⠇⠁⠛⠁⠃⠐⠦⠅⠥⠇⠐⠖⠓⠊⠐⠖⠁
𒇔,LAGAB TIMES LAGAB,⠇⠁⠛⠁⠃⠐⠦⠇⠁⠛⠁⠃
𒇕,LAGAB TIMES LISH,⠇⠁⠛⠁⠃⠐⠦⠇⠊⠎⠓
𒇖,LAGAB TIMES LU,⠇⠁⠛⠁⠃⠐⠦⠇⠥
𒇗,LAGAB TIMES LUL,⠇⠁⠛⠁⠃⠐⠦⠇⠥⠇
𒇘,LAGAB TIMES ME,⠇⠁⠛⠁⠃⠐⠦⠍⠑
𒇙,LAGAB TIMES ME PLUS EN,⠇⠁⠛⠁⠃⠐⠦⠍⠑⠐⠖⠑⠝
𒇚,LAGAB TIMES MUSH,⠇⠁⠛⠁⠃⠐⠦⠍⠥⠎⠓
𒇛,LAGAB TIMES NE,⠇⠁⠛⠁⠃⠐⠦⠝⠑
𒇜,LAGAB TIMES SHE PLUS SUM,⠇⠁⠛⠁⠃⠐⠦⠎⠓⠑⠐⠖⠎⠥⠍
𒇝,LAGAB TIMES SHITA PLUS GISH PLUS ERIN2,⠇⠁⠛⠁⠃⠐⠦⠎⠓⠊⠞⠁⠐⠖⠛⠊⠎⠓⠐⠖⠑⠗⠊⠝⠼⠃
𒇞,LAGAB TIMES SHITA PLUS GISH TENU,⠇⠁⠛⠁⠃⠐⠦⠎⠓⠊⠞⠁⠐⠖⠛⠊⠎⠓ ⠞⠑⠝⠥
𒇟,LAGAB TIMES SHU2,⠇⠁⠛⠁⠃⠐⠦⠎⠓⠥⠼⠃
𒇠,LAGAB TIMES SHU2 PLUS SHU2,⠇⠁⠛⠁⠃⠐⠦⠎⠓⠥⠼⠃⠐⠖⠎⠓⠥⠼⠃
𒇡,LAGAB TIMES SUM,⠇⠁⠛⠁⠃⠐⠦⠎⠥⠍
𒇢,LAGAB TIMES TAG,⠇⠁⠛⠁⠃⠐⠦⠞⠁⠛
𒇣,LAGAB TIMES TAK4,⠇⠁⠛⠁⠃⠐⠦⠞⠁⠅⠼⠙
𒇤,LAGAB TIMES TE PLUS A PLUS SU PLUS NA,⠇⠁⠛⠁⠃⠐⠦⠞⠑⠐⠖⠁⠐⠖⠎⠥⠐⠖⠝⠁
𒇥,LAGAB TIMES U,⠇⠁⠛⠁⠃⠐⠦⠥
𒇦,LAGAB TIMES U PLUS A,⠇⠁⠛⠁⠃⠐⠦⠥⠐⠖⠁
𒇧,LAGAB TIMES U PLUS U PLUS U,⠇⠁⠛⠁⠃⠐⠦⠥⠐⠖⠥⠐⠖⠥
𒇨,LAGAB TIMES U2 PLUS ASH,⠇⠁⠛⠁⠃⠐⠦⠥⠼⠃⠐⠖⠁⠎⠓
𒇩,LAGAB TIMES UD,⠇⠁⠛⠁⠃⠐⠦⠥⠙
𒇪,LAGAB TIMES USH,⠇⠁⠛⠁⠃⠐⠦⠥⠎⠓
𒇫,LAGAB SQUARED,⠇⠁⠛⠁⠃⠔⠼⠃
𒇬,LAGAR,⠇⠁⠛⠁⠗
𒇭,LAGAR TIMES SHE,⠇⠁⠛⠁⠗⠐⠦⠎⠓⠑
𒇮,LAGAR TIMES SHE PLUS SUM,⠇⠁⠛⠁⠗⠐⠦⠎⠓⠑⠐⠖⠎⠥⠍
𒇯,LAGAR GUNU,⠇⠁⠛⠁⠗ ⠛⠥⠝⠥
𒇰,LAGAR GUNU OVER LAGAR GUNU SHE,⠇⠁⠛⠁⠗ ⠛⠥⠝⠥⠐⠌⠇⠁⠛⠁⠗ ⠛⠥⠝⠥ ⠎⠓⠑
𒇱,LAHSHU,⠇⠁⠓⠎⠓⠥
𒇲,LAL,⠇⠁⠇
𒇳,LAL TIMES LAL,⠇⠁⠇⠐⠦⠇⠁⠇
𒇴,LAM,⠇⠁⠍
𒇵,LAM TIMES KUR,⠇⠁⠍⠐⠦⠅⠥⠗
𒇶,LAM TIMES KUR PLUS RU,⠇⠁⠍⠐⠦⠅⠥⠗⠐⠖⠗⠥
𒇷,LI,⠇⠊
𒇸,LIL,⠇⠊⠇
𒇹,LIMMU2,⠇⠊⠍⠍⠥⠼⠃
𒇺,LISH,⠇⠊⠎⠓
𒇻,LU,⠇⠥
𒇼,LU TIMES BAD,⠇⠥⠐⠦⠃⠁⠙
𒇽,LU2,⠇⠥⠼⠃
𒇾,LU2 TIMES AL,⠇⠥⠼⠃⠐⠦⠁⠇
𒇿,LU2 TIMES BAD,⠇⠥⠼⠃⠐⠦⠃⠁⠙
𒈀,LU2 TIMES ESH2,⠇⠥⠼⠃⠐⠦⠑⠎⠓⠼⠃
𒈁,LU2 TIMES ESH2 TENU,⠇⠥⠼⠃⠐⠦⠑⠎⠓⠼⠃ ⠞⠑⠝⠥
𒈂,LU2 TIMES GAN2 TENU,⠇⠥⠼⠃⠐⠦⠛⠁⠝⠼⠃ ⠞⠑⠝⠥
𒈃,LU2 TIMES HI TIMES BAD,⠇⠥⠼⠃⠐⠦⠓⠊⠐⠦⠃⠁⠙
𒈄,LU2 TIMES IM,⠇⠥⠼⠃⠐⠦⠊⠍
𒈅,LU2 TIMES KAD2,⠇⠥⠼⠃⠐⠦⠅⠁⠙⠼⠃
𒈆,LU2 TIMES KAD3,⠇⠥⠼⠃⠐⠦⠅⠁⠙⠼⠉
𒈇,LU2 TIMES KAD3 PLUS ASH,⠇⠥⠼⠃⠐⠦⠅⠁⠙⠼⠉⠐⠖⠁⠎⠓
𒈈,LU2 TIMES KI,⠇⠥⠼⠃⠐⠦⠅⠊
𒈉,LU2 TIMES LA PLUS ASH,⠇⠥⠼⠃⠐⠦⠇⠁⠐⠖⠁⠎⠓
𒈊,LU2 TIMES LAGAB,⠇⠥⠼⠃⠐⠦⠇⠁⠛⠁⠃
𒈋,LU2 TIMES ME PLUS EN,⠇⠥⠼⠃⠐⠦⠍⠑⠐⠖⠑⠝
𒈌,LU2 TIMES NE,⠇⠥⠼⠃⠐⠦⠝⠑
𒈍,LU2 TIMES NU,⠇⠥⠼⠃⠐⠦⠝⠥
𒈎,LU2 TIMES SI PLUS ASH,⠇⠥⠼⠃⠐⠦⠎⠊⠐⠖⠁⠎⠓
𒈏,LU2 TIMES SIK2 PLUS BU,⠇⠥⠼⠃⠐⠦⠎⠊⠅⠼⠃⠐⠖⠃⠥
𒈐,LU2 TIMES TUG2,⠇⠥⠼⠃⠐⠦⠞⠥⠛⠼⠃
𒈑,LU2 TENU,⠇⠥⠼⠃ ⠞⠑⠝⠥
𒈒,LU2 CROSSING LU2,⠇⠥⠼⠃⠈⠯⠇⠥⠼⠃
𒈓,LU2 OPPOSING LU2,⠇⠥⠼⠃⠈⠎⠇⠥⠼⠃
𒈔,LU2 SQUARED,⠇⠥⠼⠃⠔⠼⠃
𒈕,LU2 SHESHIG,⠇⠥⠼⠃ ⠎⠓⠑⠎⠓⠊⠛
𒈖,LU3,⠇⠥⠼⠉
𒈗,LUGAL,⠇⠥⠛⠁⠇
𒈘,LUGAL OVER LUGAL,⠇⠥⠛⠁⠇⠐⠌⠇⠥⠛⠁⠇
𒈙,LUGAL OPPOSING LUGAL,⠇⠥⠛⠁⠇⠈⠎⠇⠥⠛⠁⠇
𒈚,LUGAL SHESHIG,⠇⠥⠛⠁⠇ ⠎⠓⠑⠎⠓⠊⠛
𒈛,LUH,⠇⠥⠓
𒈜,LUL,⠇⠥⠇
𒈝,LUM,⠇⠥⠍
𒈞,LUM OVER LUM,⠇⠥⠍⠐⠌⠇⠥⠍
𒈟,LUM OVER LUM GAR OVER GAR,⠇⠥⠍⠐⠌⠇⠥⠍ ⠛⠁⠗⠐⠌⠛⠁⠗
𒈠,MA,⠍⠁
𒈡,MA TIMES TAK4,⠍⠁⠐⠦⠞⠁⠅⠼⠙
𒈢,MA GUNU,⠍⠁ ⠛⠥⠝⠥
𒈣,MA2,⠍⠁⠼⠃
𒈤,MAH,⠍⠁⠓
𒈥,MAR,⠍⠁⠗
𒈦,MASH,⠍⠁⠎⠓
𒈧,MASH2,⠍⠁⠎⠓⠼⠃
𒈨,ME,⠍⠑
𒈩,MES,⠍⠑⠎
𒈪,MI,⠍⠊
𒈫,MIN,⠍⠊⠝
𒈬,MU,⠍⠥
𒈭,MU OVER MU,⠍⠥⠐⠌⠍⠥
𒈮,MUG,⠍⠥⠛
𒈯,MUG GUNU,⠍⠥⠛ ⠛⠥⠝⠥
𒈰,MUNSUB,⠍⠥⠝⠎⠥⠃
𒈱,MURGU2,⠍⠥⠗⠛⠥⠼⠃
𒈲,MUSH,⠍⠥⠎⠓
𒈳,MUSH TIMES A,⠍⠥⠎⠓⠐⠦⠁
𒈴,MUSH TIMES KUR,⠍⠥⠎⠓⠐⠦⠅⠥⠗
𒈵,MUSH TIMES ZA,⠍⠥⠎⠓⠐⠦⠵⠁
𒈶,MUSH OVER MUSH,⠍⠥⠎⠓⠐⠌⠍⠥⠎⠓
𒈷,MUSH OVER MUSH TIMES A PLUS NA,⠍⠥⠎⠓⠐⠌⠍⠥⠎⠓⠐⠦⠁⠐⠖⠝⠁
𒈸,MUSH CROSSING MUSH,⠍⠥⠎⠓⠈⠯⠍⠥⠎⠓
𒈹,MUSH3,⠍⠥⠎⠓⠼⠉
𒈺,MUSH3 TIMES A,⠍⠥⠎⠓⠼⠉⠐⠦⠁
𒈻,MUSH3 TIMES A PLUS DI,⠍⠥⠎⠓⠼⠉⠐⠦⠁⠐⠖⠙⠊
𒈼,MUSH3 TIMES DI,⠍⠥⠎⠓⠼⠉⠐⠦⠙⠊
𒈽,MUSH3 GUNU,⠍⠥⠎⠓⠼⠉ ⠛⠥⠝⠥
𒈾,NA,⠝⠁
𒈿,NA2,⠝⠁⠼⠃
𒉀,NAGA,⠝⠁⠛⠁
𒉁,NAGA INVERTED,⠝⠁⠛⠁ ⠊⠝⠧⠑⠗⠞⠑⠙
𒉂,NAGA TIMES SHU TENU,⠝⠁⠛⠁⠐⠦⠎⠓⠥ ⠞⠑⠝⠥
𒉃,NAGA OPPOSING NAGA,⠝⠁⠛⠁⠈⠎⠝⠁⠛⠁
𒉄,NAGAR,⠝⠁⠛⠁⠗
𒉅,NAM NUTILLU,⠝⠁⠍ ⠝⠥⠞⠊⠇⠇⠥
𒉆,NAM,⠝⠁⠍
𒉇,NAM2,⠝⠁⠍⠼⠃
𒉈,NE,⠝⠑
𒉉,NE TIMES A,⠝⠑⠐⠦⠁
𒉊,NE TIMES UD,⠝⠑⠐⠦⠥⠙
𒉋,NE SHESHIG,⠝⠑ ⠎⠓⠑⠎⠓⠊⠛
𒉌,NI,⠝⠊
𒉍,NI TIMES E,⠝⠊⠐⠦⠑
𒉎,NI2,⠝⠊⠼⠃
𒉏,NIM,⠝⠊⠍
𒉐,NIM TIMES GAN2 TENU,⠝⠊⠍⠐⠦⠛⠁⠝⠼⠃ ⠞⠑⠝⠥
𒉑,NIM TIMES GAR PLUS GAN2 TENU,⠝⠊⠍⠐⠦⠛⠁⠗⠐⠖⠛⠁⠝⠼⠃ ⠞⠑⠝⠥
𒉒,NINDA2,⠝⠊⠝⠙⠁⠼⠃
𒉓,NINDA2 TIMES AN,⠝⠊⠝⠙⠁⠼⠃⠐⠦⠁⠝
𒉔,NINDA2 TIMES ASH,⠝⠊⠝⠙⠁⠼⠃⠐⠦⠁⠎⠓
𒉕,NINDA2 TIMES ASH PLUS ASH,⠝⠊⠝⠙⠁⠼⠃⠐⠦⠁⠎⠓⠐⠖⠁⠎⠓
𒉖,NINDA2 TIMES GUD,⠝⠊⠝⠙⠁⠼⠃⠐⠦⠛⠥⠙
𒉗,NINDA2 TIMES ME PLUS GAN2 TENU,⠝⠊⠝⠙⠁⠼⠃⠐⠦⠍⠑⠐⠖⠛⠁⠝⠼⠃ ⠞⠑⠝⠥
𒉘,NINDA2 TIMES NE,⠝⠊⠝⠙⠁⠼⠃⠐⠦⠝⠑
𒉙,NINDA2 TIMES NUN,⠝⠊⠝⠙⠁⠼⠃⠐⠦⠝⠥⠝
𒉚,NINDA2 TIMES SHE,⠝⠊⠝⠙⠁⠼⠃⠐⠦⠎⠓⠑
𒉛,NINDA2 TIMES SHE PLUS A AN,⠝⠊⠝⠙⠁⠼⠃⠐⠦⠎⠓⠑⠐⠖⠁ ⠁⠝
𒉜,NINDA2 TIMES SHE PLUS ASH,⠝⠊⠝⠙⠁⠼⠃⠐⠦⠎⠓⠑⠐⠖⠁⠎⠓
𒉝,NINDA2 TIMES SHE PLUS ASH PLUS ASH,⠝⠊⠝⠙⠁⠼⠃⠐⠦⠎⠓⠑⠐⠖⠁⠎⠓⠐⠖⠁⠎⠓
𒉞,NINDA2 TIMES U2 PLUS ASH,⠝⠊⠝⠙⠁⠼⠃⠐⠦⠥⠼⠃⠐⠖⠁⠎⠓
𒉟,NINDA2 TIMES USH,⠝⠊⠝⠙⠁⠼⠃⠐⠦⠥⠎⠓
𒉠,NISAG,⠝⠊⠎⠁⠛
𒉡,NU,⠝⠥
𒉢,NU11,⠝⠥⠼⠁⠼⠁
𒉣,NUN,⠝⠥⠝
𒉤,NUN LAGAR TIMES GAR,⠝⠥⠝ ⠇⠁⠛⠁⠗⠐⠦⠛⠁⠗
𒉥,NUN LAGAR TIMES MASH,⠝⠥⠝ ⠇⠁⠛⠁⠗⠐⠦⠍⠁⠎⠓
𒉦,NUN LAGAR TIMES SAL,⠝⠥⠝ ⠇⠁⠛⠁⠗⠐⠦⠎⠁⠇
𒉧,NUN LAGAR TIMES SAL OVER NUN LAGAR TIMES SAL,⠝⠥⠝ ⠇⠁⠛⠁⠗⠐⠦⠎⠁⠇⠐⠌⠝⠥⠝ ⠇⠁⠛⠁⠗⠐⠦⠎⠁⠇
𒉨,NUN LAGAR TIMES USH,⠝⠥⠝ ⠇⠁⠛⠁⠗⠐⠦⠥⠎⠓
𒉩,NUN TENU,⠝⠥⠝ ⠞⠑⠝⠥
𒉪,NUN OVER NUN,⠝⠥⠝⠐⠌⠝⠥⠝
𒉫,NUN CROSSING NUN,⠝⠥⠝⠈⠯⠝⠥⠝
𒉬,NUN CROSSING NUN LAGAR OVER LAGAR,⠝⠥⠝⠈⠯⠝⠥⠝ ⠇⠁⠛⠁⠗⠐⠌⠇⠁⠛⠁⠗
𒉭,NUNUZ,⠝⠥⠝⠥
𒉮,NUNUZ AB2 TIMES ASHGAB,⠝⠥⠝⠥⠵ ⠁⠃⠼⠃⠐⠦⠁⠎⠓⠛⠁⠃
𒉯,NUNUZ AB2 TIMES BI,⠝⠥⠝⠥⠵ ⠁⠃⠼⠃⠐⠦⠃⠊
𒉰,NUNUZ AB2 TIMES DUG,⠝⠥⠝⠥⠵ ⠁⠃⠼⠃⠐⠦⠙⠥⠛
𒉱,NUNUZ AB2 TIMES GUD,⠝⠥⠝⠥⠵ ⠁⠃⠼⠃⠐⠦⠛⠥⠙
𒉲,NUNUZ AB2 TIMES IGI GUNU,⠝⠥⠝⠥⠵ ⠁⠃⠼⠃⠐⠦⠊⠛⠊ ⠛⠥⠝⠥
𒉳,NUNUZ AB2 TIMES KAD3,⠝⠥⠝⠥⠵ ⠁⠃⠼⠃⠐⠦⠅⠁⠙⠼⠉
𒉴,NUNUZ AB2 TIMES LA,⠝⠥⠝⠥⠵ ⠁⠃⠼⠃⠐⠦⠇⠁
𒉵,NUNUZ AB2 TIMES NE,⠝⠥⠝⠥⠵ ⠁⠃⠼⠃⠐⠦⠝⠑
𒉶,NUNUZ AB2 TIMES SILA3,⠝⠥⠝⠥⠵ ⠁⠃⠼⠃⠐⠦⠎⠊⠇⠁⠼⠉
𒉷,NUNUZ AB2 TIMES U2,⠝⠥⠝⠥⠵ ⠁⠃⠼⠃⠐⠦⠥⠼⠃
𒉸,NUNUZ KISIM5 TIMES BI,⠝⠥⠝⠥⠵ ⠅⠊⠎⠊⠍⠼⠑⠐⠦⠃⠊
𒉹,NUNUZ KISIM5 TIMES BI U,⠝⠥⠝⠥⠵ ⠅⠊⠎⠊⠍⠼⠑⠐⠦⠃⠊ ⠥
𒉺,PA,⠏⠁
𒉻,PAD,⠏⠁⠙
𒉼,PAN,⠏⠁⠝
