Character,Hex,Type,Name,Braille
דִּ,05D3+05B4+05BC,always,dalet  dagesh with hiriq,⠐⠙⠊
דֵּ,05D3+05B5+05BC,always,dalet with dagesh,⠐⠙⠌
בֲּ,05D1+05B2+05BC,always,bet dagesh with hataf patah,⠃⠒
בֱּ,05D1+05B1+05BC,always,bet dagesh with hataf segol,⠃⠢
דָּ,05D3+05B8+05BC,always,dalet dagesh with qamats,⠐⠙⠣
יֲּ,05D9+05B2+05BC,always,Yod dagesh  hataf patah,⠐⠚⠒
טִּ,05D8+05B4+05BC,always,tet dagesh with hiriq,⠐⠞⠊
זִּ,05D6+05B4+05BC,always,zayin dagesh with hiriq,⠐⠵⠊
דֳּ,05D3+05B3+05BC,always,dalet dagesh with hataf qamats,⠐⠙⠜
שְׂ,05E9+05B0+05C2,always, Sin sheva,⠱⠄
הִּ,05D4+05B4+05BC,always,heydagesh with hiriq,⠐⠓⠊
הֵּ,05D4+05B5+05BC,always,Hey dagesh with tsere,⠐⠓⠌
הֶּ,05D4+05B6+05BC,always,Hey dagesh with segol,⠐⠓⠑
הַּ,05D4+05B7+05BC,always,Hey dagesh with patah,⠐⠓⠉
הָּ,05D4+05B8+05BC,always,Hey dagesh  qamats,⠐⠓⠣
הֱּ,05D4+05B1+05BC,always,Hey dagesh  hataf segol,⠐⠓⠢
הֲּ,05D4+05B2+05BC,always,Hey dagesh  hataf patah,⠐⠓⠒
הֳּ,05D4+05B3+05BC,always,Hey dagesh  hataf qamats,⠐⠓⠜
זֵּ,05D6+05B5+05BC,always,zayin dagesh with tsere,⠐⠵⠌
חָּ,05D7+05B8+05BC,always,Hex dagesh  qamats,⠐⠭⠣
זֶּ,05D6+05B6+05BC,always,zayin dagesh with segol,⠐⠵⠑
זַּ,05D6+05B7+05BC,always,zayin dagesh with patah,⠐⠵⠉
זָּ,05D6+05B8+05BC,always,zayin dagesh  qamats,⠐⠵⠣
זֱּ,05D6+05B1+05BC,always,zayin dagesh  hataf segol,⠐⠵⠢
זֲּ,05D6+05B2+05BC,always,zayin dagesh  hataf patah,⠐⠵⠒
זֳּ,05D6+05B3+05BC,always,zayin dagesh  hataf qamats,⠐⠵⠜
חִּ,05D7+05B4+05BC,always,het dagesh with hiriq,⠐⠭⠊
חֵּ,05D7+05B5+05BC,always,het dagesh with tsere,⠐⠭⠌
חֶּ,05D7+05B6+05BC,always,het dagesh with segol,⠐⠭⠑
חַּ,05D7+05B7+05BC,always,Hex dagesh with patah,⠐⠭⠉
דֲּ,05D3+05B2+05BC,always,dalet dagesh with hataf patah,⠐⠙⠒
דֱּ,05D3+05B1+05BC,always,dalet dagesh with hataf segol,⠐⠙⠢
טֵּ,05D8+05B5+05BC,always,tet dagesh with tsere,⠐⠞⠌
יָּ,05D9+05B8+05BC,always,Yod dagesh  qamats,⠐⠚⠣
טֶּ,05D8+05B6+05BC,always,tet dagesh with segol,⠐⠞⠑
טַּ,05D8+05B7+05BC,always,tet dagesh with patah,⠐⠞⠉
טָּ,05D8+05B8+05BC,always,tet dagesh  qamats,⠐⠞⠣
טֱּ,05D8+05B1+05BC,always,tet dagesh  hataf segol,⠐⠚⠢
טֲּ,05D8+05B2+05BC,always,tet dagesh  hataf patah,⠐⠞⠒
טֳּ,05D8+05B3+05BC,always,tet dagesh  hataf qamats,⠐⠞⠜
יִּ,05D9+05B4+05BC,always,Yod dagesh with hiriq,⠐⠚⠊
יֵּ,05D9+05B5+05BC,always,Yod dagesh with tsere,⠐⠚⠌
יֶּ,05D9+05B6+05BC,always,Yod dagesh with segol,⠐⠚⠑
יַּ,05D9+05B7+05BC,always,Yod dagesh with patah,⠐⠚⠉
יֱּ,05D9+05B1+05BC,always,Yod dagesh  hataf segol,⠐⠚⠢
חֱּ,05D7+05B1+05BC,always,het dagesh  hataf segol,⠐⠭⠢
בֵּ,05D1+05B5+05BC,always,bet  dagesh with tsere,⠃⠌
